student_id,name,math,science,english,computer
1,Aarav,83,96,73,59
2,Sita,87,52,65,83
3,Rohan,63,67,55,55
4,Anisha,68,97,80,84
5,Bibek,68,47,66,97
6,Pratik,46,68,88,74
7,Samir,82,46,65,77
8,Nisha,56,66,88,69
9,Sujan,93,71,86,72
10,Aayush,60,59,91,95
11,Puja,88,99,96,47
12,Roshan,81,95,51,65
13,Sneha,53,83,62,48
14,Kiran,69,58,94,53
15,Suman,70,97,46,64
16,Riya,72,91,51,88
17,Nabin,52,91,79,58
18,Asmita,61,80,94,84
19,Bikash,48,46,50,98
20,Sarita,86,48,98,73
21,Raj,62,70,88,78
22,Manisha,54,80,58,75
23,Dipesh,92,59,52,58
24,Sabina,67,84,65,60
25,Ashish,89,62,91,97
26,Kabita,68,70,69,89
27,Sandip,85,73,59,89
28,Prabin,45,69,51,53
29,Alisha,68,45,88,52
30,Niraj,68,55,95,61
31,Shreya,52,79,79,77
32,Milan,49,86,83,85
33,Sanjay,72,51,53,52
34,Karuna,56,78,77,92
35,Sagar,99,67,68,81
36,Rachana,79,88,84,66
37,Utsav,71,79,45,79
38,Binita,81,91,58,47
39,Siddhant,45,49,70,99
40,Aastha,58,83,71,53
41,Manoj,59,59,70,86
42,Sushmita,57,95,76,83
43,Anmol,93,96,76,48
44,Rekha,74,81,67,83
45,Rupesh,89,59,87,73
46,Elina,80,57,76,51
47,Bishal,95,66,72,46
48,Menuka,86,89,97,50
49,Roshan,72,72,88,88
50,Sanjita,64,74,55,99
